Descriptor_Name,R2_Score
MQNs_,0.9694386774696304
SMR_VSA_ALL_IND,0.9674458374601028
VSA_EState_ALL_ind,0.9630075642712436
PEOE_VSA_ALL_ind,0.962106433371158
MolLogP,0.961009360236532
SlogP_VSA_ALL_ind,0.9597734095905244
Kappa_all_sum,0.9572819205458776
Chi0,0.9566945308520342
Chi0v,0.9562277391697988
PEOE_VSA6,0.9551719422931476
SlogP_VSA_ALL_sum,0.954945266261592
NumValenceElectrons,0.954148162480781
ChiNv_,0.9540712408555752
CalcLabuteASA,0.9537051231046416
ChiNn_,0.9536176841954666
PEOE_VSA_ALL_sum,0.9524825828624788
Chi_ALL_sum,0.9514939432774928
MolMR,0.9505119809252612
Chi1,0.9494909879468691
Ipc,0.9488070011777467
Chi_ALL_ind,0.9487566362864748
Kappa_all_ind,0.9449982631946068
Chi1n,0.9449948759166488
HeavyAtomCount,0.9445708617492754
Chi2n,0.944352110876206
RadiusOfGyration,0.944060877967159
Chi2v,0.9434833748572584
SMR_VSA_ALL_SUM,0.9433975753322172
Chi1v,0.9430606527861344
SlogP_VSA5,0.9420437486760134
Chi3n,0.9410768793192156
Kappa2,0.9407095337607628
VSA_EState7,0.9400020990428476
Chi4n,0.9357907435068756
RDF,0.9350533685029502
NumRotatableBonds,0.9342569540139964
CalcPhi,0.9334728050922568
Kappa1,0.9323881553100628
Chi4v,0.932325364563359
Chi0n,0.9279837990663258
SMR_VSA5,0.9271940394610112
AUTOCORR3D,0.9228574397887456
Chi3v,0.9186934072834716
MORSE,0.9139198661905908
WHIM,0.912811052057282
ExactMolWt,0.9113853455785308
VSA_EState_ALL_sum,0.9037682363318366
AUTOCORR2D,0.9020823641777482
BertzCT,0.9005894368697608
VSA_EState6,0.8780228557664447
SlogP_VSA8,0.8764953410063191
Kappa3,0.8742966791999234
Eccentricity,0.8695389674203334
SMR_VSA7,0.8667845844462794
VSA_EState8,0.8662543682501807
SlogP_VSA4,0.8653199547567397
NumAromaticRings,0.8644349290667344
NPR2,0.8638522931553455
SlogP_VSA6,0.8626959158848106
FractionCSP3,0.8597410609416499
PEOE_VSA11,0.8594216185805181
PEOE_VSA14,0.8593136202299021
NumHAcceptors,0.8590506100150794
PMI3,0.8585561248084396
PEOE_VSA3,0.8579817900754361
NPR1,0.8570425641006459
PEOE_VSA2,0.8563257855934217
RingCount,0.8541853932606139
VSA_EState3,0.8526089656355306
SMR_VSA4,0.8525847182853452
PEOE_VSA5,0.8521015395544569
SMR_VSA1,0.851982884094823
PEOE_VSA13,0.8507688082716865
NumSaturatedRings,0.8491880995066626
SlogP_VSA2,0.8486491465395507
GETAWAY,0.8484635942229491
CalcNumBridgeheadAtoms,0.8484232896331496
PEOE_VSA7,0.8476608230725742
PMI_ALL_ind,0.8476046151328813
PMI_ALL_sum,0.8462977963462145
SMR_VSA2,0.8460020588341284
NumHDonors,0.8457097746008098
SlogP_VSA3,0.8441887589410044
SlogP_VSA1,0.8441796014857776
PBF,0.8440406605359904
SlogP_VSA9,0.843618747338928
InertialShapeFactor,0.8432611110454307
NumAliphaticRings,0.8428062940616696
PEOE_VSA12,0.8421851963131052
VSA_EState5,0.8418056368442866
CalcNumAmideBonds,0.8416806996898903
SMR_VSA8,0.8416757935641855
NOCount,0.8410847273136303
NHOHCount,0.8402437520401065
SlogP_VSA10,0.8399483394548974
BalabanJ,0.8397097135653808
SMR_VSA3,0.8392597054576683
SlogP_VSA12,0.8374915462703096
SpherocityIndex,0.8374073781283183
HallKierAlpha,0.8363167956801474
Asphericity,0.836012087114884
PMI2,0.8350804283618303
PEOE_VSA1,0.834414830944289
SMR_VSA6,0.8316946925835884
NPR_ALL_ind,0.8301934154226994
SlogP_VSA7,0.8299537231583312
SMR_VSA10,0.8291168052939815
PEOE_VSA4,0.8288132206316221
SMR_VSA9,0.8253065293452901
NumHeteroatoms,0.8233679090278317
VSA_EState10,0.8218848745345317
VSA_EState4,0.8205761953062016
PMI1,0.8196513050877512
TPSA,0.8177276157186932
